,id,name,area_name,salary_from,salary_to,salary_ccy,salary_gross
16385,46957748,Разработчик С#,Краснотурьинск,,,,
16386,46958761,Программист в подразделение Data Governance,Екатеринбург,,,,
16387,46959124,Программист- разработчик 1 С,Уфа,,,,
16388,46959299,Программист 1C,Тольятти,70000.0,100000.0,RUR,True
16391,46959856,Специалист технической поддержки,Уфа,25000.0,,RUR,False
16392,46960528,Разработчик SAP BW/BO PP,Санкт-Петербург,,,,
16393,46960981,Инженер-программист (ОАИД),Чебоксары,40000.0,,RUR,True
16394,46960996,Системный администратор,Тольятти,35000.0,,RUR,True
16400,46962665,Специалист службы поддержки пользователей,Владивосток,50000.0,65000.0,RUR,False
16402,46963732,Разработчик Documentum Open Text,Санкт-Петербург,,,,
16403,46963736,Инженер-программист,Нижний Новгород,,,,
16404,46964585,Консультант 1C,Москва,,,,
16406,46964744,Producer of education products (Design),Москва,,,,
16408,46965403,IT специалист/ инженер,Москва,35000.0,60000.0,RUR,True
16411,46966843,Консультант 1С,Томск,38000.0,76000.0,RUR,False
16413,46967072,Консультант 1С,Новосибирск,38000.0,76000.0,RUR,False
16415,46967103,Консультант 1С,Кемерово,38000.0,76000.0,RUR,False
16416,46967926,Инженер технической поддержки (график работы: 1/3 с 8.00-8.00),Саратов,36000.0,,RUR,True
16418,46968799,Data Scientist,Москва,,,,
16420,46969464,Junior+/Middle fullstack developer (C#),Санкт-Петербург,,,,
16422,46969548,Специалист по тестированию ПО/ тестировщик ПО (удаленная работа),Москва,,,,
16424,46969622,Разработчик Elixir,Москва,,220000.0,RUR,False
16425,46969902,Программист 1С (удаленно),Самара,60000.0,,RUR,False
16426,46970397,Специалист службы поддержки пользователей на входящие звонки (удаленно),Волгоград,35100.0,45000.0,RUR,True
16427,46970404,Специалист службы поддержки пользователей на входящие звонки (удаленно),Санкт-Петербург,35100.0,45000.0,RUR,True
16428,46970426,Разработчик (Старший) Ruby on Rails (Москва/удаленно),Москва,140000.0,220000.0,RUR,False
16431,46971195,Разработчик MS SQL,Москва,,,,
16432,46971486,QA Automation Engineer,Москва,,,,
16434,46972768,Python разработчик,Москва,,,,
16435,46972769,Python разработчик,Санкт-Петербург,,,,
16436,46972848,Инженер технической поддержки,Нижний Новгород,,,,
16438,46973604,Системный аналитик (Power BI),Москва,70000.0,120000.0,RUR,False
16439,46973758,Junior DevOps engineer,Москва,,,,
16441,46973869,Cпециалист по тестированию STB (Wink),Москва,,,,
16442,46973970,Системный администратор Linux,Москва,,,,
16443,46974045,Программист Unity 3D,Воронеж,,,,
16444,46974201,Специалист технической поддержки (информационная безопасность),Пермь,,,,
16446,46975046,Младший системный администратор,Новосибирск,,,,
16448,46975111,Системный администратор Linux/DevOps,Новосибирск,,,,
16449,46975154,Ведущий специалист технической поддержки Terrasoft,Москва,,,,
16451,46975737,Программист-стажер 1С,Санкт-Петербург,50000.0,,RUR,True
16453,46975896,Разработчик C# (ASP.NET),Воронеж,,,,
16458,46976315,Python разработчик,Москва,70000.0,,RUR,False
16459,46976633,Разработчик FIS Platform,Новосибирск,,80000.0,RUR,False
16460,46977367,Программист SQL (команда логистики),Екатеринбург,100000.0,,RUR,False
16462,46977809,Системный администратор,Новосибирск,50000.0,70000.0,RUR,False
16468,46978993,Программист С++/C# (Junior),Новосибирск,25000.0,40000.0,RUR,False
16471,46979633,Старший программист,Пермь,,,,
16473,46979952,Программист 1С,Москва,,150000.0,RUR,False
16474,46979990,Программист 1С,Химки,,150000.0,RUR,False
16475,46980185,Программист 1С,Зеленоград,,150000.0,RUR,False
16476,46980324,Ведущий инженер по автоматизации тестирования,Москва,,,,
