,id,area_name,address_lat,address_lng,employer_id,employer_name
38104,48564597,Санкт-Петербург,59.851864,30.476936,580609,Stream Telecom
38105,48564642,Владимир,,,87334,КайКом экспертс
38106,48564714,Владимир,,,87334,КайКом экспертс
38107,48564736,Владимир,,,87334,КайКом экспертс
38110,48564810,Севастополь,,,3697039,7 CоТ (ИП Фоменко Сергей Юрьевич)
38111,48564811,Ялта,,,3697039,7 CоТ (ИП Фоменко Сергей Юрьевич)
38112,48564815,Симферополь,,,3697039,7 CоТ (ИП Фоменко Сергей Юрьевич)
38113,48564890,Калуга,54.544613,36.27062,5252835,Калужский Турбинный Завод
38116,48565074,Екатеринбург,,,1740,Яндекс
38117,48565075,Казань,,,1740,Яндекс
38118,48565076,Нижний Новгород,,,1740,Яндекс
38119,48565077,Самара,,,1740,Яндекс
38120,48565078,Омск,,,1740,Яндекс
38121,48565079,Ростов-на-Дону,,,1740,Яндекс
38122,48565080,Уфа,,,1740,Яндекс
38123,48565081,Воронеж,,,1740,Яндекс
38124,48565082,Пермь,,,1740,Яндекс
38125,48565083,Волгоград,,,1740,Яндекс
38126,48565084,Краснодар,,,1740,Яндекс
38127,48565085,Саратов,,,1740,Яндекс
38128,48565086,Тольятти,,,1740,Яндекс
38129,48565087,Ижевск,,,1740,Яндекс
38130,48565088,Ярославль,,,1740,Яндекс
38131,48565089,Рязань,,,1740,Яндекс
38132,48565090,Набережные Челны,,,1740,Яндекс
38133,48565091,Астрахань,,,1740,Яндекс
38134,48565092,Пенза,,,1740,Яндекс
38135,48565093,Липецк,,,1740,Яндекс
38136,48565094,Чебоксары,,,1740,Яндекс
38137,48565095,Калининград,,,1740,Яндекс
38138,48565096,Тула,,,1740,Яндекс
38139,48565097,Курск,,,1740,Яндекс
38140,48565098,Сочи,,,1740,Яндекс
38141,48565099,Белгород,,,1740,Яндекс
38142,48565100,Владимир,,,1740,Яндекс
38143,48565101,Нижний Тагил,,,1740,Яндекс
38144,48565102,Саранск,,,1740,Яндекс
38145,48565103,Орел,,,1740,Яндекс
38146,48565104,Тамбов,,,1740,Яндекс
38147,48565105,Нальчик,,,1740,Яндекс
