,employer_name,conditions
2905,Siren Group,Удаленка/гибрид
2906,Sirius Future,Гибкий график
2907,Sirius Future,Удаленка/гибрид
2908,SiteSecure,Agile-команда
2909,SiteSecure,Удаленка/гибрид
2910,Sitefry,Гибкий график
2911,Sitefry,Оформление по ТК
2912,Sitronics Group,ДМС
2913,Sitronics Group,Корпоративный спорт
2914,Sitronics KT,Agile-команда
2915,Sitronics KT,Профессиональный рост
2916,Sitronics KT,Удаленка/гибрид
2917,Sizze Inc,Гибкий график
2918,Sizze Inc,Профессиональный рост
2919,SkillSoft,Удаленка/гибрид
2920,Skilla Бизнес-агрегатор,Оформление по ТК
2921,Skilla Бизнес-агрегатор,Удаленка/гибрид
2922,Skillbox,Гибкий график
2923,Skillbox,Удаленка/гибрид
2924,SkyNet,Корпоративный спорт
2925,SkyNet,Удаленка/гибрид
2926,Skyeng,Agile-команда
2927,Skyeng,Корпоративный спорт
2928,Skyeng,Удаленка/гибрид
2929,Skyori,Гибкий график
2930,Skyori,Корпоративный спорт
2931,Skyori,Оформление по ТК
2932,Skyori,Удаленка/гибрид
2933,Skytec Games,Гибкий график
2934,Skytec Games,Корпоративный спорт
2935,Skytec Games,Оформление по ТК
2936,Skytec Games,Профессиональный рост
2937,Skytec Games,Удаленка/гибрид
2938,Smart Бизнес,Удаленка/гибрид
2939,SmartBear Software,Agile-команда
2940,SmartBear Software,Гибкий график
2941,SmartBear Software,Корпоративный спорт
2942,SmartBear Software,Удаленка/гибрид
2943,SmartHead,Удаленка/гибрид
2944,SmartLeads,Удаленка/гибрид
2945,Smartcat,Agile-команда
2946,Smartseeds,ДМС
2947,Smartseeds,Корпоративный спорт
2948,Smile2impress,Agile-команда
2949,Smirnov School,Удаленка/гибрид
2950,Smit&Co,Удаленка/гибрид
2951,Social Discovery Ventures,Корпоративный спорт
2952,Social Discovery Ventures,Профессиональный рост
2953,Social Discovery Ventures,Удаленка/гибрид
2954,Social Quantum,Корпоративный английский
2955,Social Quantum,Корпоративный спорт
2956,Soft Jet,Удаленка/гибрид
2957,Soft-Werke,Agile-команда
2958,SoftCraft,Удаленка/гибрид
2959,SoftGamings,Корпоративный спорт
2960,SoftGamings,Оформление по ТК
2961,SoftGamings,Удаленка/гибрид
2962,SoftGrad Solutions,Гибкий график
2963,SoftGrad Solutions,Оформление по ТК
2964,Softline,Agile-команда
2965,Softline,Гибкий график
2966,Softline,Корпоративный спорт
2967,Softline,Оформление по ТК
2968,Softline,Удаленка/гибрид
2969,Softline development,Agile-команда
2970,Softline development,Корпоративный спорт
2971,Software Cats,ДМС
2972,Software Cats,Удаленка/гибрид
2973,SolidLab,Оформление по ТК
2974,SolidLab,Удаленка/гибрид
2975,Solostyle,Корпоративный спорт
2976,Solutions Factory Consulting,ДМС
2977,Solutions Factory Consulting,Профессиональный рост
2978,Solveig Multimedia,Гибкий график
2979,Solveig Multimedia,Оформление по ТК
2980,Sopra Steria,Agile-команда
2981,Sopra Steria,Корпоративный спорт
2982,Southmedia,Корпоративный спорт
2983,Southmedia,Оформление по ТК
2984,Space App,Корпоративный английский
2985,Space App,Оформление по ТК
2986,Space App,Удаленка/гибрид
2987,Space307,Гибкий график
2988,Space307,ДМС
2989,Space307,Корпоративный спорт
2990,Spacecode,Гибкий график
2991,Spar,Гибкий график
2992,Spar,Корпоративный спорт
2993,Spar,Оформление по ТК
2994,Spark Equation,ДМС
2995,Spark Equation,Удаленка/гибрид
2996,SpbDev,Удаленка/гибрид
2997,SpeakerGuru,Гибкий график
2998,SpectrumData,Agile-команда
2999,SpectrumData,Гибкий график
3000,SpectrumData,Оформление по ТК
3001,Sperasoft,Agile-команда
3002,Spotware Systems Ltd,Agile-команда
3003,Sputnik,Гибкий график
3004,Sputnik,Удаленка/гибрид
3005,Sputnik8,Гибкий график
3006,SquareGPS,Корпоративный спорт
3007,SquareGPS,Оформление по ТК
3008,SquareGPS,Удаленка/гибрид
3009,Stack,Гибкий график
3010,Starkit Studio,Оформление по ТК
3011,SteadyControl,Гибкий график
3012,SteadyControl,Удаленка/гибрид
3013,Stellarbit,Гибкий график
3014,Stellarbit,Оформление по ТК
3015,Stellarbit,Удаленка/гибрид
3016,Storiz,Удаленка/гибрид
3017,StormWall™,Оформление по ТК
3018,StormWall™,Удаленка/гибрид
3019,Stormoff®,Оформление по ТК
3020,Storytelling Software,Гибкий график
3021,Storytelling Software,Оформление по ТК
3022,Stream Telecom,Оформление по ТК
3023,StreamLayer Inc,Agile-команда
3024,Stroki,Корпоративный спорт
3025,Stroki,Удаленка/гибрид
3026,StudLance,Удаленка/гибрид
3027,StudyWorld,ДМС
3028,StudyWorld,Удаленка/гибрид
3029,Subtotal,Agile-команда
3030,Subtotal,Гибкий график
3031,SunStrike Studios,Гибкий график
3032,SunStrike Studios,Оформление по ТК
3033,SunStrike Studios,Удаленка/гибрид
3034,Super Brands,Agile-команда
3035,Super Brands,Оформление по ТК
3036,Surf,Гибкий график
3037,Surf,ДМС
3038,Surf,Корпоративный английский
3039,Surf,Оформление по ТК
3040,Surf,Профессиональный рост
3041,Surf,Удаленка/гибрид
3042,Swop Taxi,Оформление по ТК
3043,Swop Taxi,Удаленка/гибрид
3044,Syazan OU,Удаленка/гибрид
3045,Synopsys,Гибкий график
3046,T2G,Agile-команда
3047,T2G,Оформление по ТК
3048,TAPCLAP,Гибкий график
3049,"TEXX, компания",Корпоративный спорт
3050,"TEXX, компания",Удаленка/гибрид
3051,TGT,Корпоративный спорт
3052,THE GROUP,Гибкий график
3053,THE ONE Апартаменты,Удаленка/гибрид
3054,TIKSAN GROUP,Корпоративный спорт
3055,TISS,Оформление по ТК
3056,TISS,Удаленка/гибрид
3057,TJ Art - маркетинг и продажи,Гибкий график
3058,TJ Collection,Agile-команда
3059,TOP-it,Удаленка/гибрид
3060,TOPMAN,Оформление по ТК
3061,TOPMAN,Удаленка/гибрид
3062,TOPTOP,Оформление по ТК
3063,TOUS RUSIA,Оформление по ТК
3064,TP-LINK,ДМС
3065,TP-LINK,Оформление по ТК
3066,TRACE,Agile-команда
3067,TRACE,Гибкий график
3068,TRACE,Оформление по ТК
3069,TRADE LOCK,Корпоративный спорт
3070,TRADE LOCK,Удаленка/гибрид
3071,TRproject,Agile-команда
3072,TUI Russia & CIS,Корпоративный спорт
3073,TUI Russia & CIS,Профессиональный рост
3074,TUPPERWARE,Оформление по ТК
3075,TUPPERWARE,Удаленка/гибрид
3076,TWIGA Communication Group,Удаленка/гибрид
3077,TWINO,Корпоративный спорт
3078,TWINO,Удаленка/гибрид
3079,TWO B SOFT,Удаленка/гибрид
3080,TabTrader BV,Agile-команда
3081,TabTrader BV,Корпоративный спорт
3082,Takeoff Staff,Удаленка/гибрид
3083,TalentTech,ДМС
3084,TalentTech,Корпоративный спорт
3085,TalentTech,Оформление по ТК
3086,TalentTech,Удаленка/гибрид
3087,TanukiTech (ООО ВЕГА),Agile-команда
3088,TanukiTech (ООО ВЕГА),Корпоративный спорт
3089,TanukiTech (ООО ВЕГА),Удаленка/гибрид
3090,Taptima,Оформление по ТК
3091,Taptima,Профессиональный рост
3092,Targem Games,Гибкий график
3093,TaxTank,Гибкий график
3094,TaxTank,Удаленка/гибрид
3095,Teachbase,Профессиональный рост
3096,Teachbase,Удаленка/гибрид
3097,Team Value,Гибкий график
3098,Team Value,Оформление по ТК
3099,Team Value,Удаленка/гибрид
3100,Team4You,Agile-команда
3101,Team4You,Гибкий график
3102,Team4You,ДМС
3103,Team4You,Оформление по ТК
3104,Team4You,Удаленка/гибрид
3105,TeamIdea (ООО ТИМИДЕЯ ГРУПП),ДМС
3106,TeamIdea (ООО ТИМИДЕЯ ГРУПП),Удаленка/гибрид
3107,TeamLead,Удаленка/гибрид
3108,Tehama,Оформление по ТК
3109,Tehama,Удаленка/гибрид
3110,Tele2,Agile-команда
3111,Tele2,Гибкий график
3112,Tele2,ДМС
3113,Tele2,Корпоративный мобильный
3114,Tele2,Корпоративный спорт
3115,Tele2,Оформление по ТК
3116,Tele2,Профессиональный рост
3117,Tele2,Удаленка/гибрид
3118,Telecom Биржа,ДМС
3119,Telecom Биржа,Корпоративный мобильный
3120,Telecom Биржа,Оформление по ТК
3121,Telecoma,Корпоративный спорт
3122,Telecoma,Оформление по ТК
3123,Telemilk (ИП Блащишин Илья Игоревич),Гибкий график
3124,Teleperformance Russia Group,Корпоративный спорт
3125,Teleperformance Russia Group,Оформление по ТК
3126,Teleperformance Russia Group,Профессиональный рост
3127,Teleperformance Russia Group,Удаленка/гибрид
3128,Tender Win,Оформление по ТК
3129,Tender Win,Удаленка/гибрид
3130,TerraLink,ДМС
3131,TerraLink,Оформление по ТК
3132,TerraLink,Профессиональный рост
3133,TerraLink,Удаленка/гибрид
3134,Test Pro,Удаленка/гибрид
3135,Tevian (ООО Технологии видеоанализа),Гибкий график
3136,Tevian (ООО Технологии видеоанализа),Удаленка/гибрид
3137,The AnyLogic Company,Корпоративный спорт
3138,The Head,Agile-команда
3139,The Head,Гибкий график
3140,The Head,Корпоративный спорт
3141,The Head,Оформление по ТК
3142,The Head,Профессиональный рост
3143,The Skolkovo Institute of Science and Technology,Гибкий график
3144,The Skolkovo Institute of Science and Technology,Корпоративный спорт
3145,TheSoul Publishing (AdMe),Удаленка/гибрид
3146,Theyr Ltd,Agile-команда
3147,Theyr Ltd,Гибкий график
3148,Thmoon,Agile-команда
3149,Thmoon,Оформление по ТК
3150,Tian Group,Гибкий график
3151,Tian Group,Оформление по ТК
3152,Tian Group,Удаленка/гибрид
3153,Tibbo,Гибкий график
3154,Tibbo,Корпоративный спорт
3155,Tibbo,Удаленка/гибрид
3156,Ticketland.ru,Agile-команда
3157,Ticketland.ru,ДМС
3158,Ticketland.ru,Корпоративный спорт
3159,Ticketland.ru,Оформление по ТК
3160,TietoEVRY,ДМС
3161,TietoEVRY,Корпоративный спорт
3162,TietoEVRY,Удаленка/гибрид
3163,Tools For Brokers,Корпоративный спорт
3164,Tools For Brokers,Удаленка/гибрид
3165,Toothy Birds - компания по разработке мобильных игр,Удаленка/гибрид
3166,TopAssistant,Корпоративный спорт
3167,TopAssistant,Удаленка/гибрид
3168,TopComputer,Профессиональный рост
3169,TopComputer,Удаленка/гибрид
3170,Topcon,ДМС
3171,Topcon,Корпоративный спорт
3172,Topface,Гибкий график
3173,Topface,ДМС
3174,Topface,Удаленка/гибрид
3175,Torgbox,Гибкий график
3176,Toucan Events,Удаленка/гибрид
3177,Tradetech Development,Гибкий график
3178,Tradetech Development,Удаленка/гибрид
3179,TradingView,Гибкий график
3180,TradingView,Корпоративный английский
3181,TradingView,Оформление по ТК
3182,TradingView,Профессиональный рост
3183,TradingView,Удаленка/гибрид
3184,"Traffic Isobar, Агентство интерактивных маркетинговых коммуникаций",Удаленка/гибрид
3185,Transsion,Удаленка/гибрид
3186,TravelLine,Agile-команда
3187,TravelLine,Корпоративный спорт
3188,TrendTech,Гибкий график
3189,TrendTech,Профессиональный рост
3190,TrendTech,Удаленка/гибрид
3191,Tribonet,Удаленка/гибрид
3192,True Engineering,Agile-команда
3193,True Engineering,ДМС
3194,True Engineering,Корпоративный спорт
3195,True Engineering,Оформление по ТК
3196,True Engineering,Удаленка/гибрид
3197,TrueCare24,Agile-команда
3198,TrueConf,Гибкий график
3199,TrueConf,Корпоративный спорт
3200,Tucki Industrial,Гибкий график
3201,Tucki Industrial,ДМС
3202,Tucki Industrial,Корпоративный английский
3203,Tucki Industrial,Корпоративный спорт
3204,Tucki Industrial,Удаленка/гибрид
3205,TutorOnline,Гибкий график
3206,TutorOnline,Удаленка/гибрид
3207,TyreMan Group,Корпоративный мобильный
3208,TyreMan Group,Корпоративный спорт
3209,UBIC,Гибкий график
3210,UBIC,Удаленка/гибрид
3211,UDevelopment ,Оформление по ТК
3212,UFATECH,Оформление по ТК
3213,UGET GROUP s.r.o.,Agile-команда
3214,UGET GROUP s.r.o.,Удаленка/гибрид
3215,UGOL,Оформление по ТК
3216,UMATEX Росатом,Корпоративный мобильный
3217,UMATEX Росатом,Корпоративный спорт
3218,UMATEX Росатом,Удаленка/гибрид
3219,UNIFEST,Удаленка/гибрид
3220,UNIQ systems,Agile-команда
3221,UNIQ systems,Гибкий график
3222,UNIQ systems,Удаленка/гибрид
3223,UNIT6,Оформление по ТК
3224,UNITED CARD SERVICES,ДМС
3225,UPRO GROUP,Удаленка/гибрид
3226,URSiP,Гибкий график
3227,URSiP,Корпоративный спорт
3228,URSiP,Удаленка/гибрид
3229,US STUDIO,Гибкий график
3230,USABILITYLAB,Корпоративный спорт
3231,USERSTORY,Гибкий график
3232,USERSTORY,Удаленка/гибрид
3233,USETECH,Agile-команда
3234,USETECH,Гибкий график
3235,USETECH,Оформление по ТК
3236,USETECH,Удаленка/гибрид
3237,UVVU,Удаленка/гибрид
3238,Uchi.ru,ДМС
3239,Uchi.ru,Оформление по ТК
3240,Uchi.ru,Удаленка/гибрид
3241,Umbrella IT,Agile-команда
3242,Umbrella IT,Гибкий график
3243,Umbrella IT,Оформление по ТК
3244,Umbrella IT,Профессиональный рост
3245,Umbrella IT,Удаленка/гибрид
3246,UniCredit Bank,Доп.дни отпуска
3247,UniCredit Bank,Удаленка/гибрид
3248,Unicon Outsourcing,Гибкий график
3249,Unicon Outsourcing,ДМС
3250,Unicum,Корпоративный спорт
3251,Unigine,Корпоративный спорт
3252,Unigine,Оформление по ТК
3253,Unigine,Удаленка/гибрид
3254,Unikoom,Корпоративный английский
3255,UnitCode,Удаленка/гибрид
3256,United Developers,Гибкий график
3257,United Developers,Оформление по ТК
3258,United Developers,Удаленка/гибрид
3259,Uniteller,Удаленка/гибрид
3260,Unitpay,Корпоративный английский
3261,Unitpay,Корпоративный спорт
3262,Unitpay,Оформление по ТК
3263,Unitpay,Удаленка/гибрид
3264,Unlimint,Корпоративный спорт
3265,Unlimint,Удаленка/гибрид
3266,Uralmedias,Оформление по ТК
3267,Urban Smart,Удаленка/гибрид
3268,Urban Technology GmbH,Agile-команда
3269,Urbanpinion,Удаленка/гибрид
3270,Urbest,Agile-команда
3271,UrentCar,Оформление по ТК
3272,UrentCar,Удаленка/гибрид
3273,UserGate,Гибкий график
3274,UserGate,Корпоративный спорт
3275,UserGate,Оформление по ТК
3276,VDcom,Agile-команда
3277,VIRIDIAN,Корпоративный спорт
3278,VIRIDIAN,Профессиональный рост
3279,VK,Agile-команда
3280,VK,Влияние на бизнес
3281,VK,Гибкий график
3282,VK,ДМС
3283,VK,Корпоративный спорт
3284,VK,Профессиональный рост
3285,VK,Удаленка/гибрид
3286,VK Pay,Agile-команда
3287,VL.RU,Корпоративный спорт
3288,VL.RU,Оформление по ТК
3289,VL.RU,Профессиональный рост
3290,VL.RU,Удаленка/гибрид
3291,VOLTEP LLC,Удаленка/гибрид
3292,VOXYS,Гибкий график
3293,VOXYS,Корпоративный спорт
3294,VOXYS,Оформление по ТК
3295,VOXYS,Удаленка/гибрид
3296,VRP Consulting,Корпоративный спорт
3297,VRP Consulting,Оформление по ТК
3298,VRP Consulting,Профессиональный рост
3299,VRP Consulting,Удаленка/гибрид
3300,VSEMAYKI.RU,Оформление по ТК
3301,VSEMAYKI.RU,Удаленка/гибрид
3302,Valiotti Analytics,Гибкий график
3303,Valiotti Analytics,Удаленка/гибрид
3304,Vallexsoftware,Agile-команда
3305,Vallexsoftware,Гибкий график
3306,Vallexsoftware,Удаленка/гибрид
3307,Varwin,Agile-команда
3308,Varwin,Гибкий график
3309,Varwin,Удаленка/гибрид
3310,Veeam Software,Agile-команда
3311,Veeam Software,Гибкий график
3312,Veeam Software,ДМС
3313,Veeam Software,Корпоративный английский
3314,Veeam Software,Корпоративный спорт
3315,Veeam Software,Оформление по ТК
3316,Veeam Software,Удаленка/гибрид
3317,Veengu,Гибкий график
3318,Veengu,Оформление по ТК
3319,Veengu,Удаленка/гибрид
3320,"Velvetech, LLC",Agile-команда
3321,ViCue Soft,Корпоративный спорт
3322,ViCue Soft,Удаленка/гибрид
3323,"Victory, Веб-студия",Оформление по ТК
3324,Virtoway,Удаленка/гибрид
3325,VirtualHealth,Гибкий график
3326,Virusdie,Гибкий график
3327,Virusdie,Оформление по ТК
3328,Viscur,Гибкий график
3329,VisionLab,Удаленка/гибрид
3330,Vocato,Удаленка/гибрид
3331,Volkswagen Group Finanz,Гибкий график
3332,Volkswagen Group Finanz,Корпоративный мобильный
3333,Volkswagen Group Finanz,Удаленка/гибрид
3334,Vox Com контакт-центр,Корпоративный спорт
3335,Vox Com контакт-центр,Профессиональный рост
3336,Voximplant,Гибкий график
3337,Voximplant,ДМС
3338,Voximplant,Оформление по ТК
3339,Voximplant,Профессиональный рост
3340,Voximplant,Удаленка/гибрид
3341,WARPOINT ARENA,Удаленка/гибрид
3342,WEB-Regata,Удаленка/гибрид
3343,WEBELEMENT,Профессиональный рост
3344,WESMA,Оформление по ТК
3345,WILDBERRIES,Влияние на бизнес
3346,WILDBERRIES,Гибкий график
3347,WILDBERRIES,Оформление по ТК
3348,WILDBERRIES,Профессиональный рост
3349,WILIX,Agile-команда
3350,WILIX,Корпоративный спорт
3351,WINLINE,ДМС
3352,WINLINE,Корпоративный спорт
3353,WM Studio,Оформление по ТК
3354,WOLBE,Удаленка/гибрид
3355,WOODGRAND,Удаленка/гибрид
3356,WOWGoods,Удаленка/гибрид
3357,WSS-Consulting,Оформление по ТК
3358,WSS-Consulting,Удаленка/гибрид
3359,"Wagner, группа компаний (официальный дилер Mercedes-Benz, Audi, Volkswagen, Skoda)",Удаленка/гибрид
3360,Wanted,Agile-команда
3361,Wanted,Гибкий график
3362,Wanted,ДМС
3363,Wanted,Корпоративный спорт
3364,Wanted,Оформление по ТК
3365,Wanted,Удаленка/гибрид
3366,Wargaming,Agile-команда
3367,Wargaming,Удаленка/гибрид
3368,Wargaming St. Petersburg (Lesta Studio),Agile-команда
3369,Wargaming St. Petersburg (Lesta Studio),Корпоративный спорт
3370,Wargaming St. Petersburg (Lesta Studio),Удаленка/гибрид
3371,Wartsila,Agile-команда
3372,Wartsila,Гибкий график
3373,Wartsila,Корпоративный спорт
3374,Wartsila,Профессиональный рост
3375,Wartsila,Удаленка/гибрид
3376,WasserKraft,Корпоративный спорт
3377,WasserKraft,Удаленка/гибрид
3378,Watchers,Гибкий график
3379,Watchers,Удаленка/гибрид
3380,WaveAccess,Agile-команда
3381,WaveAccess,Гибкий график
3382,WaveAccess,Корпоративный спорт
3383,WaveAccess,Удаленка/гибрид
3384,Waves Enterprise,Agile-команда
3385,Waves Enterprise,Удаленка/гибрид
3386,WeMakeTeam,Профессиональный рост
3387,WeMakeTeam,Удаленка/гибрид
3388,Web++,Гибкий график
3389,Web++,Оформление по ТК
3390,WebCanape,Удаленка/гибрид
3391,WebMasters Russia,Гибкий график
3392,WebMasters Russia,Удаленка/гибрид
3393,WebMens,Оформление по ТК
3394,Webdevep,Удаленка/гибрид
3395,Wecan IT,Гибкий график
3396,Wecan IT,Удаленка/гибрид
3397,Weigandt-consulting,ДМС
3398,Weigandt-consulting,Удаленка/гибрид
3399,WelbeX,Agile-команда
3400,WelbeX,Удаленка/гибрид
3401,Welltory,Гибкий график
3402,Welltory,Корпоративный спорт
3403,Wemakefab,Удаленка/гибрид
3404,West Concept,Agile-команда
3405,West Concept,Гибкий график
3406,West Concept,Оформление по ТК
3407,West Concept,Удаленка/гибрид
3408,Westwing.ru,ДМС
3409,Whalemap,Удаленка/гибрид
3410,WhatCRM.ru,Гибкий график
3411,WhatCRM.ru,Удаленка/гибрид
3412,White Hills,Agile-команда
3413,WhyNot,Гибкий график
3414,Wiley,Agile-команда
3415,Wiley,ДМС
3416,Wiley,Корпоративный спорт
3417,WineStyle,Корпоративный спорт
3418,WiseAdvice,Agile-команда
3419,WiseAdvice,Гибкий график
3420,WiseAdvice,Корпоративный спорт
3421,WiseAdvice,Удаленка/гибрид
3422,Wisebits,Корпоративный спорт
3423,Wisebits,Оформление по ТК
3424,WoodCraft,Удаленка/гибрид
3425,World Class Анапа,Оформление по ТК
3426,World Class Иркутск,Гибкий график
3427,World Class Иркутск,Корпоративный спорт
3428,Wowworks,Оформление по ТК
3429,Wowworks,Удаленка/гибрид
3430,X-Com,Удаленка/гибрид
3431,X-LAB,Удаленка/гибрид
3432,X5 RETAIL GROUP,Agile-команда
3433,X5 RETAIL GROUP,Гибкий график
3434,X5 RETAIL GROUP,ДМС
3435,X5 RETAIL GROUP,Корпоративный мобильный
3436,X5 RETAIL GROUP,Корпоративный спорт
3437,X5 RETAIL GROUP,Оформление по ТК
3438,X5 RETAIL GROUP,Профессиональный рост
3439,X5 RETAIL GROUP,Удаленка/гибрид
3440,XAP Group,Agile-команда
3441,XPO Logistics,ДМС
3442,XPO Logistics,Корпоративный мобильный
3443,XPO Logistics,Корпоративный спорт
3444,XWAY,Оформление по ТК
3445,XWAY,Удаленка/гибрид
3446,XYZ school,Agile-команда
3447,XYZ school,Удаленка/гибрид
3448,Xenonshop,Оформление по ТК
3449,Xored,Гибкий график
3450,Xored,Профессиональный рост
3451,Xsolla,Удаленка/гибрид
3452,X|Store,Удаленка/гибрид
3453,Y-solutions,Удаленка/гибрид
3454,YADRO,Agile-команда
3455,YADRO,ДМС
3456,YADRO,Корпоративный спорт
3457,YADRO,Оформление по ТК
3458,YADRO,Удаленка/гибрид
3459,YAMI YAMI,Гибкий график
3460,YAMI YAMI,Оформление по ТК
3461,YAY Games,Удаленка/гибрид
3462,YCLIENTS LLC,Agile-команда
3463,YCLIENTS LLC,ДМС
3464,YCLIENTS LLC,Корпоративный спорт
3465,YCLIENTS LLC,Оформление по ТК
3466,YCLIENTS LLC,Удаленка/гибрид
3467,Yenisei Media,Гибкий график
3468,Yota,ДМС
3469,Yota,Корпоративный мобильный
3470,Yota,Корпоративный спорт
3471,Yota,Оформление по ТК
3472,Yota,Удаленка/гибрид
3473,Youinroll services INC.,Удаленка/гибрид
3474,Your Next Agency,Удаленка/гибрид
3475,ZAVOD,Удаленка/гибрид
3476,Zaprosto,Оформление по ТК
3477,ZeBrains,Корпоративный спорт
3478,Zecurion,Гибкий график
3479,Zefir Games,ДМС
3480,Zefir Games,Корпоративный спорт
3481,Zefir Games,Оформление по ТК
3482,Zenia-AI,Корпоративный спорт
3483,Zenia-AI,Удаленка/гибрид
3484,Zeppelin Group,ДМС
3485,Zeppelin Group,Удаленка/гибрид
3486,ZeptoLab,Гибкий график
3487,ZeptoLab,Удаленка/гибрид
3488,ZeroHub,Удаленка/гибрид
3489,ZiMAD,Гибкий график
3490,ZiMAD,Оформление по ТК
3491,ZiMAD,Удаленка/гибрид
3492,ZiP&КОРЕЯ MOTORS,Оформление по ТК
3493,Zimalab,Гибкий график
3494,Zimalab,Удаленка/гибрид
3495,Zion Development,Гибкий график
3496,Zion Development,Корпоративный спорт
3497,Zodiac Systems,Гибкий график
3498,Zodiac Systems,Удаленка/гибрид
3499,Zoftify Eesti OÜ,Agile-команда
3500,Zoftify Eesti OÜ,Гибкий график
3501,Zoftify Eesti OÜ,Удаленка/гибрид
3502,Zoon.ru,Гибкий график
3503,Zoon.ru,Корпоративный английский
3504,Zoon.ru,Корпоративный спорт
3505,Zoon.ru,Удаленка/гибрид
3506,Zum Punkt,Оформление по ТК
3507,Zum Punkt,Удаленка/гибрид
3508,adidas,ДМС
3509,adidas,Корпоративный спорт
3510,amoCRM,Оформление по ТК
3511,anyService,Корпоративный спорт
3512,anyService,Оформление по ТК
3513,app smart GmbH,Гибкий график
3514,app smart GmbH,Удаленка/гибрид
3515,aqua cloud GmbH,Agile-команда
3516,aqua cloud GmbH,Удаленка/гибрид
3517,banki.shop,Agile-команда
3518,banki.shop,Оформление по ТК
3519,coderaptor,Удаленка/гибрид
3520,comp03.ru,Гибкий график
3521,comp03.ru,Удаленка/гибрид
3522,datacorp,Гибкий график
3523,dentsu,Agile-команда
3524,dentsu,Корпоративный спорт
3525,dentsu,Удаленка/гибрид
3526,devtodev,Удаленка/гибрид
3527,e-Legion,Корпоративный спорт
3528,e2e4 Магазин компьютерной и цифровой техники,Гибкий график
3529,e2e4 Магазин компьютерной и цифровой техники,Оформление по ТК
3530,e2e4gu.ru (Потапенко В.А.),Гибкий график
3531,e2e4gu.ru (Потапенко В.А.),Оформление по ТК
3532,eSignal,Гибкий график
3533,eSignal,Оформление по ТК
3534,edna,Гибкий график
3535,edna,ДМС
3536,edna,Корпоративный спорт
3537,emg (Effective Marketing Group),ДМС
3538,evrone.ru,Корпоративный спорт
3539,evrone.ru,Удаленка/гибрид
3540,fial,Оформление по ТК
3541,greenbrown,Удаленка/гибрид
3542,html academy,Гибкий график
3543,html academy,Оформление по ТК
3544,html academy,Удаленка/гибрид
3545,i-FREE,Гибкий график
3546,i-FREE,Оформление по ТК
3547,i-Link,Agile-команда
3548,i-Link,Гибкий график
3549,i-Link,Корпоративный спорт
3550,i-Link,Оформление по ТК
3551,i-Media,Корпоративный спорт
3552,i-Media,Оформление по ТК
3553,i20,Agile-команда
3554,i20,Гибкий график
3555,i20,Оформление по ТК
3556,"i20, филиал в г. Иркутск",Agile-команда
3557,"i20, филиал в г. Иркутск",Гибкий график
3558,"i20, филиал в г. Иркутск",Оформление по ТК
3559,i2crm,Agile-команда
3560,i2crm,Удаленка/гибрид
3561,iAGE Engineering,Гибкий график
3562,iCore (Integration Core),Корпоративный мобильный
3563,iCore (Integration Core),Корпоративный спорт
3564,iFuture,Гибкий график
3565,iFuture,Корпоративный английский
3566,iFuture,Корпоративный спорт
3567,iPantry,Agile-команда
3568,iPantry,Гибкий график
3569,iPantry,Удаленка/гибрид
3570,iSEO,Удаленка/гибрид
3571,iSimpleLab,Agile-команда
3572,iSimpleLab,Гибкий график
3573,iSimpleLab,Корпоративный спорт
3574,iSimpleLab,Оформление по ТК
3575,iSpring,Корпоративный спорт
3576,iSpring,Удаленка/гибрид
3577,igooods,Гибкий график
3578,igooods,Корпоративный спорт
3579,igooods,Удаленка/гибрид
3580,"iiko, Компания Aйко",Гибкий график
3581,"iiko, Компания Aйко",Корпоративный спорт
3582,"iiko, Компания Aйко",Удаленка/гибрид
3583,inDriver,ДМС
3584,inDriver,Удаленка/гибрид
3585,instinctools,Корпоративный спорт
3586,instinctools,Удаленка/гибрид
3587,it-aces.com,Гибкий график
3588,it-aces.com,Профессиональный рост
3589,it-aces.com,Удаленка/гибрид
3590,itactis,Оформление по ТК
3591,itactis,Удаленка/гибрид
3592,ivi,Agile-команда
3593,ivi,Гибкий график
3594,ivi,ДМС
3595,ivi,Корпоративный спорт
3596,ivi,Оформление по ТК
3597,izipoint,Оформление по ТК
3598,iКРИТ,Оформление по ТК
3599,iКРИТ,Удаленка/гибрид
3600,iТехник,Agile-команда
3601,iТехник,Гибкий график
3602,kt.team,Agile-команда
3603,kt.team,Корпоративный спорт
3604,kt.team,Удаленка/гибрид
3605,look.online,Оформление по ТК
3606,look.online,Удаленка/гибрид
3607,luna,Agile-команда
3608,luna,ДМС
3609,luna,Корпоративный спорт
3610,luna,Удаленка/гибрид
3611,mStudio,Гибкий график
3612,mStudio,Удаленка/гибрид
3613,makk автомагазин сервис,Корпоративный спорт
3614,makk автомагазин сервис,Оформление по ТК
3615,makk автомагазин сервис,Профессиональный рост
3616,modesco,Гибкий график
3617,modesco,Корпоративный спорт
3618,myBI,Удаленка/гибрид
3619,nir-vanna.ru,Удаленка/гибрид
3620,oodji,Оформление по ТК
3621,red_mad_robot,Agile-команда
3622,red_mad_robot,Гибкий график
3623,red_mad_robot,Удаленка/гибрид
3624,the_covert,Гибкий график
3625,tit dating (ООО АСМ),Гибкий график
3626,tit dating (ООО АСМ),Оформление по ТК
3627,uKit Group,Гибкий график
3628,uKit Group,ДМС
3629,uKit Group,Оформление по ТК
3630,uKit Group,Удаленка/гибрид
